"","year","mun","trat","pto","rs","value","q_minwages"
"225",2005,"Patzcuaro",1,0,"rs_w1",567,1
"226",2005,"Quiroga",1,0,"rs_w1",216,1
"227",2005,"Tacambaro",1,0,"rs_w1",351,1
"228",2005,"Turicato",1,0,"rs_w1",18,1
"229",2005,"Zacapu",0,0,"rs_w1",1009,1
"230",2005,"Tarimbaro",1,0,"rs_w1",350,1
"231",2005,"Acuitzio",1,0,"rs_w1",25,1
"232",2005,"Ario",1,0,"rs_w1",183,1
"233",2005,"Erongaricuaro",1,0,"rs_w1",15,1
"234",2005,"La Huacana",0,0,"rs_w1",36,1
"235",2005,"Huiramba",1,0,"rs_w1",0,1
"236",2005,"Lagunillas",1,0,"rs_w1",10,1
"237",2005,"Madero",1,0,"rs_w1",118,1
"238",2005,"Salvador Escalante",1,0,"rs_w1",137,1
"239",2005,"Tzintzuntzan",1,0,"rs_w1",21,1
"240",2005,"Angamacutiro",0,0,"rs_w1",8,1
"241",2005,"Jose Sixto Verduzco",0,0,"rs_w1",12,1
"242",2005,"Morelos",0,0,"rs_w1",0,1
"243",2005,"Panindicuaro",0,0,"rs_w1",30,1
"244",2005,"Puruandiro",0,0,"rs_w1",188,1
"245",2005,"Churumuco",0,0,"rs_w1",2,1
"246",2005,"Zinapecuaro",1,0,"rs_w1",142,1
"247",2005,"Querendaro",0,0,"rs_w1",13,1
"248",2005,"Indaparapeo",0,0,"rs_w1",177,1
"249",2005,"Charo",0,0,"rs_w1",9,1
"250",2005,"Alvaro Obregon",0,0,"rs_w1",52,1
"251",2005,"Coeneo",0,0,"rs_w1",24,1
"252",2005,"Jimenez",0,0,"rs_w1",17,1
"253",2005,"Huaniqueo",0,0,"rs_w1",10,1
"254",2005,"Caracuaro",0,0,"rs_w1",2,1
"255",2005,"Cuitzeo",0,0,"rs_w1",54,1
"256",2005,"Chucandiro",0,0,"rs_w1",12,1
"257",2005,"Santa Ana Maya",0,0,"rs_w1",2,1
"258",2005,"Huandacareo",0,0,"rs_w1",76,1
"259",2005,"Copandaro",0,0,"rs_w1",2,1
"260",2005,"Tzitzio",0,0,"rs_w1",0,1
"261",2005,"Apatzingan",1,0,"rs_w1",917,1
"262",2005,"Arteaga",0,0,"rs_w1",14,1
"263",2005,"Charapan",0,0,"rs_w1",24,1
"264",2005,"Cheran",0,0,"rs_w1",41,1
"265",2005,"Gabriel Zamora",0,0,"rs_w1",52,1
"266",2005,"Mugica",0,0,"rs_w1",264,1
"267",2005,"Nuevo Urecho",0,0,"rs_w1",17,1
"268",2005,"Paracuaro",0,0,"rs_w1",28,1
"269",2005,"Paracho",0,0,"rs_w1",445,1
"270",2005,"Taretan",1,0,"rs_w1",447,1
"271",2005,"Uruapan",1,0,"rs_w1",12487,1
"272",2005,"Tingambato",1,0,"rs_w1",77,1
