"","gini","year","cve","mun_name","pto","trat_2","date"
"225",0.31157115294363,2003,"C81","Gabriel Zamora",0,0,2003-03-01
"226",0.459332260122257,2003,"C82","Hidalgo",0,1,2003-03-01
"227",0.465565657416484,2003,"C83","Jacona",0,0,2003-03-01
"228",0.428198795884966,2003,"C84","Jiquilpan",0,0,2003-03-01
"229",0.314716312056738,2003,"C85","Jungapeo",0,1,2003-03-01
"230",0.428914370156398,2003,"C86","La Piedad",0,0,2003-03-01
"231",0.477866883929316,2003,"C87","Lazaro Cardenas",0,0,2003-03-01
"232",0.46783764344995,2003,"C88","Los Reyes",0,1,2003-03-01
"233",0.465702079380017,2003,"C89","Morelia",0,0,2003-03-01
"234",0.417987322590593,2003,"C90","Mugica",0,0,2003-03-01
"235",0.232727272727273,2003,"C92","Nuevo Urecho",0,0,2003-03-01
"236",0.191395045632334,2003,"C93","Paracuaro",0,0,2003-03-01
"237",0.420442419765247,2003,"C94","Paracho",0,0,2003-03-01
"238",0.458402022236836,2003,"C95","Patzcuaro",0,1,2003-03-01
"239",0.324225046201917,2003,"C96","Periban",0,1,2003-03-01
"240",0.368504165390999,2003,"C97","Quiroga",0,1,2003-03-01
"241",0.39576253720744,2003,"C98","Sahuayo",0,0,2003-03-01
"242",0.459671940294431,2003,"C99","Tacambaro",0,1,2003-03-01
"243",0.493794630923741,2003,"D01","Taretan",0,1,2003-03-01
"244",0.384400696798846,2003,"D02","Tinguindin",0,1,2003-03-01
"245",0.517989417989418,2003,"D03","Tocumbo",0,1,2003-03-01
"246",0.40961792856587,2003,"D04","Turicato",0,1,2003-03-01
"247",0.440302922335697,2003,"D05","Uruapan",0,1,2003-03-01
"248",0.297712529873677,2003,"D06","Venustiano Carranza",0,0,2003-03-01
"249",0.508919964140848,2003,"D07","Zacapu",0,0,2003-03-01
"250",0.464655159127688,2003,"D08","Zamora",0,0,2003-03-01
"251",0.454366002539672,2003,"D09","Zitacuaro",0,1,2003-03-01
"252",0.338993934666237,2003,"D10","Tarimbaro",0,1,2003-03-01
"253",0.201709401709402,2003,"H44","Angangueo",0,0,2003-03-01
"254",0.188858695652174,2003,"K77","Acuitzio",0,1,2003-03-01
"255",0.373420266544118,2003,"K78","Ario",0,1,2003-03-01
"256",0.229170567309493,2003,"K79","Erongaricuaro",0,1,2003-03-01
"257",0.359603789836348,2003,"K80","La Huacana",0,0,2003-03-01
"258",0.25,2003,"K81","Huiramba",0,1,2003-03-01
"259",0.346428571428571,2003,"K82","Lagunillas",0,1,2003-03-01
"260",0.2699604743083,2003,"K83","Madero",0,1,2003-03-01
"261",0.336699378940881,2003,"K84","Salvador Escalante",0,1,2003-03-01
"262",0.325710325710326,2003,"K85","Tingambato",0,1,2003-03-01
"263",0.146990740740741,2003,"K86","Tzintzuntzan",0,1,2003-03-01
"264",0.261748633879781,2003,"L22","Angamacutiro",0,0,2003-03-01
